,col_room_number,col_region,col_area,col_price,col_price_sq_m,col_floor,col_layout,flat_type,city_area,premises_area,floor,floor_tot,layout,status,price
1773,1-комн.,"Октябрьский р-н, Калинина, 175В",30.50 м 2,2 750 000 руб.,90 164 руб./м2,9 эт. из 25,"Октябрьский р-н, Калинина, 175В
Планировка: студия
Готовое",1_room_ap,Oktyabrskiy,30.5,9,25,studio,finished,31976.74418604651
1774,1-комн.,"Свердловский р-н, Александра Матросова, 36",37.10 м 2,4 200 000 руб.,113 208 руб./м2,13 эт. из 24,"Свердловский р-н, Александра Матросова, 36
Планировка: новая
Готовое",1_room_ap,Sverdlovsky,37.1,13,24,new,finished,48837.20930232558
1775,1-комн.,"Центральный р-н, Шахтеров, 44",47.00 м 2,6 100 000 руб.,129 787 руб./м2,5 эт. из 25,"Центральный р-н, Шахтеров, 44
Планировка: новая
Готовое",1_room_ap,Central,47.0,5,25,new,finished,70930.23255813954
1776,2-комн.,"Советский р-н, Партизана Железняка, 48е",63.00 м 2,12 700 000 руб.,201 587 руб./м2,10 эт. из 17,"Советский р-н, Партизана Железняка, 48е
Планировка: новая
Готовое",2_room_ap,Sovietskiy,63.0,10,17,new,finished,147674.41860465117
1777,2-комн.,"Советский р-н, Весны, 17",52.80 м 2,6 600 000 руб.,125 000 руб./м2,10 эт. из 10,"Советский р-н, Весны, 17
Планировка: новая
Готовое",2_room_ap,Sovietskiy,52.8,10,10,new,finished,76744.18604651163
1778,2-комн.,"Центральный р-н, Линейная, 122",65.00 м 2,9 500 000 руб.,146 154 руб./м2,15 эт. из 21,"Центральный р-н, Линейная, 122
Планировка: новая
Готовое",2_room_ap,Central,65.0,15,21,new,finished,110465.11627906977
1780,3-комн.,"Октябрьский р-н, Свободный, 72а",93.00 м 2,9 200 000 руб.,98 925 руб./м2,5 эт. из 9,"Октябрьский р-н, Свободный, 72а
Планировка: новая
Готовое",3_room_ap,Oktyabrskiy,93.0,5,9,new,finished,106976.74418604652
1781,2-комн.,"Кировский р-н, Красноярский Рабочий, 88б",45.70 м 2,3 600 000 руб.,78 775 руб./м2,1 эт. из 5,"Кировский р-н, Красноярский Рабочий, 88б
Планировка: хрущевка
Готовое",2_room_ap,Kirovsky,45.7,1,5,khrushchevka,finished,41860.46511627907
1783,1-комн.,"Центральный р-н, Караульная, 82",33.70 м 2,4 300 000 руб.,127 596 руб./м2,14 эт. из 16,"Центральный р-н, Караульная, 82
Планировка: новая
Готовое",1_room_ap,Central,33.7,14,16,new,finished,50000.0
1784,3-комн.,"Советский р-н, Авиаторов, 33",116.00 м 2,12 500 000 руб.,107 759 руб./м2,5 эт. из 10,"Советский р-н, Авиаторов, 33
Планировка: индивидуальная
Готовое",3_room_ap,Sovietskiy,116.0,5,10,individual,finished,145348.83720930232
1785,1-комн.,"Советский р-н, Светлова, 44",40.40 м 2,3 700 000 руб.,91 584 руб./м2,9 эт. из 17,"Советский р-н, Светлова, 44
Планировка: новая
Готовое",1_room_ap,Sovietskiy,40.4,9,17,new,finished,43023.25581395349
1786,2-комн.,"Октябрьский р-н, Юшкова, 30",44.00 м 2,3 500 000 руб.,79 545 руб./м2,5 эт. из 5,"Октябрьский р-н, Юшкова, 30
Планировка: хрущевка
Готовое",2_room_ap,Oktyabrskiy,44.0,5,5,khrushchevka,finished,40697.67441860465
1787,3-комн.,"Железнодорожный р-н, Тимирязева, 6",62.00 м 2,5 150 000 руб.,83 065 руб./м2,4 эт. из 5,"Железнодорожный р-н, Тимирязева, 6
Планировка: улучшенная
Готовое",3_room_ap,Zheleznodorozhniy,62.0,4,5,improved,finished,59883.72093023256
